Pointer Name,Target Data Type,DataStructType
J3DTransformInfo *,J3DTransformInfo,Structure
J3DVertexBlock *,J3DVertexBlock,Structure
J3DVertexBuffer *,J3DVertexBuffer,Structure
J3DVertexData *,J3DVertexData,Structure
J3DVisibilityManager *,J3DVisibilityManager,Structure
J3DZMode *,J3DZMode,TypeDef
JAIAnimeFrameSoundData *,JAIAnimeFrameSoundData,Structure
JAIAnimeSound *,JAIAnimeSound,Structure
JAIAnimeSound__Slot *,JAIAnimeSound__Slot,Structure
JAIBasic *,JAIBasic,Structure
JAISound *,JAISound,Structure
JAISound * *,JAISound *,Pointer
JAIZelAnime *,JAIZelAnime,Structure
JAIZelBasic *,JAIZelBasic,Structure
JAIZelInst *,JAIZelInst,Structure
JFWDisplay *,JFWDisplay,Structure
JKRADCommand *,JKRADCommand,Structure
JKRAMCommand *,JKRAMCommand,Structure
JKRAram *,JKRAram,Structure
JKRAramArchive *,JKRAramArchive,Structure
JKRAramBlock *,JKRAramBlock,Structure
JKRAramHeap *,JKRAramHeap,Structure
JKRAramHeap *[6] *,JKRAramHeap *[6],Array
JKRAramHeap *[6] * *,JKRAramHeap *[6] *,Pointer
JKRAramPiece *,JKRAramPiece,Structure
JKRAramStream *,JKRAramStream,Structure
JKRAramStreamCommand *,JKRAramStreamCommand,Structure
JKRArchive *,JKRArchive,Structure
JKRArchive__DataHeader *,JKRArchive__DataHeader,Structure
JKRArchive__Header *,JKRArchive__Header,Structure
JKRArchive__vtbl *,JKRArchive__vtbl,Structure
JKRCompArchive *,JKRCompArchive,Structure
JKRDecompCommand *,JKRDecompCommand,Structure
JKRDvdAramRipper *,JKRDvdAramRipper,Structure
JKRDvdArchive *,JKRDvdArchive,Structure
JKRDvdFile *,JKRDvdFile,Structure
JKRExpHeap *,JKRExpHeap,Structure
JKRFile *,JKRFile,Structure
JKRFileCache *,JKRFileCache,Structure
JKRFileLoader *,JKRFileLoader,Structure
JKRHeap *,JKRHeap,Structure
JKRHeap *[6] *,JKRHeap *[6],Array
JKRHeap *[6] * *,JKRHeap *[6] *,Pointer
JKRHeap__vtbl *,JKRHeap__vtbl,Structure
JKRMemArchive *,JKRMemArchive,Structure
JKRSolidHeap *,JKRSolidHeap,Structure
JKRSolidHeap * *,JKRSolidHeap *,Pointer
JKRThread *,JKRThread,Structure
JKRThreadSwitch *,JKRThreadSwitch,Structure
JORReflexible *,JORReflexible,Structure
JPABaseEmitter *,JPABaseEmitter,Structure
JPABaseEmitter * *,JPABaseEmitter *,Pointer
JPABaseField *,JPABaseField,Structure
JPABaseParticle *,JPABaseParticle,Structure
JPABaseParticle * *,JPABaseParticle *,Pointer
JPABaseShape *,JPABaseShape,Structure
JPABaseShapeArc *,JPABaseShapeArc,Structure
JPABaseShapeArc__Data *,JPABaseShapeArc__Data,Structure
JPABaseShapeArc__vtbl *,JPABaseShapeArc__vtbl,Structure
JPACallBackBase *,JPACallBackBase,Structure
JPACallBackBase2 *,JPACallBackBase2,Structure
JPADataBlockLinkInfo *,JPADataBlockLinkInfo,Structure
JPADataBlockLinkInfo * *,JPADataBlockLinkInfo *,Pointer
JPADraw *,JPADraw,Structure
JPADrawCalcEmitterVisitor *,JPADrawCalcEmitterVisitor,Structure
JPADrawContext *,JPADrawContext,Structure
JPADrawExecEmitterVisitor *,JPADrawExecEmitterVisitor,Structure
JPADrawExecParticleVisitor *,JPADrawExecParticleVisitor,Structure
JPADrawInfo *,JPADrawInfo,Structure
JPADrawSetupTev *,JPADrawSetupTev,Structure
JPADrawVisitorContainer *,JPADrawVisitorContainer,Structure
JPADrawVisitorDefFlags *,JPADrawVisitorDefFlags,Structure
JPADynamicsBlock *,JPADynamicsBlock,Structure
JPADynamicsBlockArc *,JPADynamicsBlockArc,Structure
JPADynamicsBlockArc__Data *,JPADynamicsBlockArc__Data,Structure
JPAEmitterData *,JPAEmitterData,Structure
JPAEmitterData * *,JPAEmitterData *,Pointer
JPAEmitterInfo *,JPAEmitterInfo,Structure
JPAEmitterManager *,JPAEmitterManager,Structure
JPAEmitterResource *,JPAEmitterResource,Structure
JPAEmitterResource * *,JPAEmitterResource *,Pointer
JPAExTexShape *,JPAExTexShape,Structure
JPAExTexShapeArc *,JPAExTexShapeArc,Structure
JPAExtraShapeArc *,JPAExtraShapeArc,Structure
JPAFieldBlock *,JPAFieldBlock,Structure
JPAFieldBlockArc *,JPAFieldBlockArc,Structure
JPAFieldBlockArc * *,JPAFieldBlockArc *,Pointer
JPAFieldData *,JPAFieldData,Structure
JPAKeyBlockArc *,JPAKeyBlockArc,Structure
JPAKeyBlockArc * *,JPAKeyBlockArc *,Pointer
JPAResourceManager *,JPAResourceManager,Structure
JPASweepShapeArc *,JPASweepShapeArc,Structure
JPATexture *,JPATexture,Structure
JPATexture * *,JPATexture *,Pointer
JPATextureResource *,JPATextureResource,Structure
JPATextureResource * *,JPATextureResource *,Pointer
JSUFileInputStream *,JSUFileInputStream,Structure
JSUInputStream *,JSUInputStream,Structure
JSUList *,JSUList,Structure
JSUPtrLink *,JSUPtrLink,Structure
JSUPtrList *,JSUPtrList,Structure
JSURandomInputStream *,JSURandomInputStream,Structure
JUTConsole *,JUTConsole,Structure
JUTConsoleManager *,JUTConsoleManager,Structure
JUTDbPrint *,JUTDbPrint,Structure
JUTDirectPrint *,JUTDirectPrint,Structure
JUTException *,JUTException,Structure
JUTFader *,JUTFader,Structure
JUTFont *,JUTFont,Structure
JUTFont__vtbl *,JUTFont__vtbl,Structure
JUTGamePad *,JUTGamePad,Structure
JUTGbaParam *,JUTGbaParam,Structure
JUTGbaThreadVar *,JUTGbaThreadVar,Structure
JUTNameTab *,JUTNameTab,Structure
JUTPalette *,JUTPalette,Structure
JUTProcBar *,JUTProcBar,Structure
JUTResFont *,JUTResFont,Structure
JUTTexture *,JUTTexture,Structure
JUTVideo *,JUTVideo,Structure
JUTXfb *,JUTXfb,Structure
JntHit_HIO_c *,JntHit_HIO_c,Structure
JntHit_c *,JntHit_c,Structure
KAMOME_EFF *,KAMOME_EFF,Structure
LIGHT_INFLUENCE *,LIGHT_INFLUENCE,Structure
